 Downloading crates ...
  Downloaded adler2 v2.0.1
  Downloaded crossbeam-epoch v0.9.18
  Downloaded wayland-cursor v0.29.5
  Downloaded rayon-core v1.12.1
  Downloaded regex-automata v0.4.9
  Downloaded yane v1.1.11
  Downloaded embedded-graphics v0.8.1
  Downloaded dotlottie-rs v0.1.0-alpha.1
  Downloaded regex v1.11.1
  Downloaded zip v2.4.2
  Downloaded zerocopy v0.8.26
  Downloaded wayland-protocols v0.29.5
  Downloaded ttf-parser v0.21.1
  Downloaded ttf-parser v0.20.0
  Downloaded time v0.3.41
  Downloaded syn v2.0.104
  Downloaded serde_json v1.0.141
  Downloaded rustix v1.0.8
  Downloaded regex-syntax v0.8.5
  Downloaded nix v0.24.3
  Downloaded micromath v2.1.0
  Downloaded libc v0.2.174
  Downloaded jpeg-decoder v0.3.2
  Downloaded bindgen v0.70.1
  Downloaded zopfli v0.8.2
  Downloaded xml-rs v0.8.27
  Downloaded xcursor v0.3.10
  Downloaded x11-dl v2.21.0
  Downloaded weezl v0.1.10
  Downloaded wayland-sys v0.29.5
  Downloaded wayland-scanner v0.29.5
  Downloaded wayland-commons v0.29.5
  Downloaded wayland-client v0.29.5
  Downloaded version_check v0.9.5
  Downloaded unicode-ident v1.0.18
  Downloaded typetag-impl v0.2.20
  Downloaded typetag v0.2.20
  Downloaded typeid v1.0.3
  Downloaded time-macros v0.2.22
  Downloaded time-core v0.1.4
  Downloaded thiserror-impl v1.0.69
  Downloaded thiserror v2.0.12
  Downloaded termcolor v1.4.1
  Downloaded tempfile v3.20.0
  Downloaded stable_deref_trait v1.2.0
  Downloaded spin v0.9.8
  Downloaded smallvec v1.15.1
  Downloaded simplelog v0.12.2
  Downloaded simd-adler32 v0.3.7
  Downloaded serde_derive v1.0.219
  Downloaded serde-big-array v0.5.1
  Downloaded serde v1.0.219
  Downloaded scopeguard v1.2.0
  Downloaded ryu v1.0.20
  Downloaded rustc_version v0.4.1
  Downloaded rayon v1.10.0
  Downloaded rand_core v0.6.4
  Downloaded rand_chacha v0.3.1
  Downloaded rand v0.8.5
  Downloaded quote v1.0.40
  Downloaded qrcode v0.14.1
  Downloaded proc-macro2 v1.0.95
  Downloaded prettyplease v0.2.36
  Downloaded ppv-lite86 v0.2.21
  Downloaded postcard v1.1.3
  Downloaded png v0.18.0-rc.3
  Downloaded once_cell v1.21.3
  Downloaded num-traits v0.2.19
  Downloaded nom v7.1.3
  Downloaded miniz_oxide v0.8.9
  Downloaded minimal-lexical v0.2.1
  Downloaded minifb v0.24.0
  Downloaded memoffset v0.6.5
  Downloaded memchr v2.7.5
  Downloaded log v0.4.27
  Downloaded lock_api v0.4.13
  Downloaded libloading v0.8.8
  Downloaded jzon v0.12.5
  Downloaded json v0.12.4
  Downloaded itertools v0.13.0
  Downloaded inventory v0.3.20
  Downloaded indexmap v2.10.0
  Downloaded iana-time-zone v0.1.63
  Downloaded heapless v0.7.17
  Downloaded hashbrown v0.15.4
  Downloaded hashbrown v0.14.5
  Downloaded glob v0.3.2
  Downloaded gif v0.13.3
  Downloaded getrandom v0.3.3
  Downloaded getrandom v0.2.16
  Downloaded fontdue v0.9.3
  Downloaded fontdue v0.8.0
  Downloaded flate2 v1.1.2
  Downloaded fdeflate v0.3.7
  Downloaded fatfs v0.3.6
  Downloaded erased-serde v0.4.6
  Downloaded embedded-io v0.4.0
  Downloaded embedded-hal v1.0.0
  Downloaded embedded-graphics-core v0.4.0
  Downloaded embedded-canvas v0.3.1
  Downloaded displaydoc v0.2.5
  Downloaded crc32fast v1.5.0
  Downloaded clang-sys v1.8.1
  Downloaded chrono v0.4.41
  Downloaded bitflags v2.9.1
  Downloaded base64 v0.22.1
  Downloaded aho-corasick v1.1.3
  Downloaded thiserror-impl v2.0.12
  Downloaded thiserror v1.0.69
  Downloaded shlex v1.3.0
  Downloaded semver v1.0.26
  Downloaded scoped-tls v1.0.1
  Downloaded rustc-hash v1.1.0
  Downloaded raw-window-handle v0.4.3
  Downloaded powerfmt v0.2.0
  Downloaded pkg-config v0.3.32
